tickerSymbol,trendPriceRelationship,currentTrend,previousTrend,currentPrice,previousPrice,topOccurrences,reason,timeScanned
CVV,N/A,27.027,0.0,,,0,good!,09:58
IRIX,N/A,26.979,0.0,,,0,good!,09:55
CRBP,N/A,9.042,0.0,,,0,good!,09:58
VERO,38.544,7.965,14.903,2.29,2.47,8,good!,10:00
SPRT,4.74,7.716,10.56,10.1,10.7,9,good!,10:00
TIRX,9.138,7.707,2.224,5.6,5.0,2,good!,09:49
EMAN,N/A,6.924,0.0,,,0,good!,09:57
CBAT,N/A,6.863,0.0,,,1,good!,09:59
AVCO,N/A,6.122,4.241,,,1,good!,09:49
MICT,N/A,6.086,0.0,,,0,good!,09:54
NH,N/A,6.01,0.0,,,0,good!,09:54
KMPH,N/A,5.959,0.0,,,0,good!,09:55
DFFN,N/A,5.817,0.0,,,0,good!,10:01
PHUN,N/A,5.777,5.516,0.96,,2,good!,09:48
FULC,7.548,5.519,3.028,22.69,22.36,4,good!,09:49
WORX,N/A,5.423,0.0,,,0,good!,09:49
ISR,N/A,5.177,3.532,,,0,good!,09:49
NGL,N/A,4.563,2.928,,,0,good!,09:49
LFMD,N/A,4.178,7.225,,,1,good!,09:48
BIOL,140.556,4.155,5.42,0.8554,0.8644,10,good!,09:48
BXRX,N/A,4.13,4.932,,,1,good!,09:49
GOED,N/A,4.079,1.141,,,1,good!,09:49
LKCO,N/A,4.054,0.0,,,1,good!,09:54
XBIO,N/A,3.973,2.287,,,0,good!,09:49
BOXL,3.4,3.81,3.776,2.38,2.39,6,good!,09:49
OBSV,1515.0,3.798,2.283,2.73,2.73,2,good!,09:49
AQMS,N/A,3.675,0.0,,,1,good!,10:00
BTB,295.567,3.602,12.469,1.22,1.25,9,good!,10:00
CNFR,N/A,3.466,0.0,,,0,good!,09:58
AYTU,N/A,3.372,2.455,,,0,good!,09:49
ERYP,N/A,3.322,0.0,,,0,good!,09:57
MOGO,N/A,3.303,2.301,,,0,good!,09:49
NAOV,2.829,3.099,2.505,3.04,3.25,3,good!,09:49
XERS,N/A,2.995,0.0,,,0,good!,09:49
NAKD,N/A,2.965,2.356,,,0,good!,09:49
ITRM,N/A,2.914,2.706,,,1,good!,09:49
CETX,N/A,2.91,0.0,,,0,good!,09:58
SOS,N/A,2.804,1.479,,,1,good!,09:49
CTIC,N/A,2.778,0.0,2.75,2.75,2,good!,09:58
DPW,N/A,2.746,1.683,,,1,good!,09:49
TTI,N/A,2.623,0.0,,,0,good!,09:50
ZEV,N/A,2.575,1.178,,,1,good!,09:49
ENG,N/A,2.496,1.329,,,1,good!,09:49
ATOS,N/A,2.4,1.989,,,1,good!,09:49
ANY,N/A,2.399,1.391,,,0,good!,09:49
XELA,N/A,2.306,2.119,,,0,good!,09:49
HOFV,N/A,2.271,1.487,,,0,good!,09:49
WATT,N/A,2.253,0.0,,,1,good!,09:50
VERB,N/A,2.25,2.171,,,0,good!,09:49
TNXP,N/A,2.207,1.403,,,0,good!,09:49
PROG,N/A,2.153,0.0,,,1,good!,09:51
CIDM,N/A,2.048,2.855,,,0,good!,09:49
