tickerSymbol,trendPriceRelationship,currentTrend,previousTrend,currentPrice,previousPrice,topOccurrences,reason,timeScanned
PBTS,,19.807,,,,0,good!,06:51
UK,,1.541,,,,0,good!,06:53
MOGO,,1.424,,,,0,good!,06:50
BRQS,,1.324,,,,0,good!,06:45
SBI,,1.287,,,,0,good!,06:52
DYAI,,1.262,,,,0,good!,06:47
EXPR,,1.228,,,,0,good!,06:47
ONE,,1.221,,,,0,good!,06:51
MRIN,,1.193,,,,0,good!,06:50
NEW,,1.17,,,,0,good!,06:50
JRJC,,0.0,,,,0,low result,06:55
WPCA,,0.0,,,,0,no data,06:54
WORX,,0.0,,,,0,spiked data,06:54
WKEY,,0.0,,,,0,low result,06:54
WNW,,0.0,,,,0,spiked data,06:54
UBX,,0.0,,,,0,low result,06:54
UBFO,,0.0,,,,0,no data,06:54
UAVS,,0.0,,,,0,low result,06:54
UCL,,0.0,,,,0,spiked data,06:54
TYME,,0.0,,,,0,spiked data,06:54
SURF,,0.0,,,,0,low result,06:54
SVFD,,0.0,,,,0,no data,06:54
SCYX,,0.0,,,,0,low result,06:54
SCPS,,0.0,,,,0,spiked data,06:54
SDAC,,0.0,,,,0,no data,06:54
PRTH,,0.0,,,,0,low result,06:54
PRSR,,0.0,,,,0,no data,06:54
LYTS,,0.0,,,,0,low result,06:54
LYRA,,0.0,,,,0,low result,06:54
LWAY,,0.0,,,,0,low result,06:54
LYL,,0.0,,,,0,low result,06:54
LWAC,,0.0,,,,0,no data,06:54
LXEH,,0.0,,,,0,no data,06:54
HTBX,,0.0,,,,0,spiked data,06:54
HT,,0.0,,,,0,low result,06:54
HTPA,,0.0,,,,0,no data,06:54
HSTO,,0.0,,,,0,low result,06:54
HRTG,,0.0,,,,0,low result,06:54
HSAQ,,0.0,,,,0,no data,06:54
HTGM,,0.0,,,,0,spiked data,06:54
GIG,,0.0,,,,0,low result,06:54
GIFI,,0.0,,,,0,low result,06:54
GIGM,,0.0,,,,0,low result,06:54
GIIX,,0.0,,,,0,no data,06:54
GIW,,0.0,,,,0,no data,06:54
FCO,,0.0,,,,0,low result,06:54
FACT,,0.0,,,,0,low result,06:54
FAMI,,0.0,,,,0,low result,06:54
FBIO,,0.0,,,,0,low result,06:54
FARM,,0.0,,,,0,low result,06:54
EZPW,,0.0,,,,0,low result,06:54
DTEA,,0.0,,,,0,low result,06:54
DSWL,,0.0,,,,0,no data,06:54
